央视频道,#genre#
湖北卫视,http://154.12.36.187:656/index.php?token=7777&id=hubws
吉林卫视,http://154.12.36.187:656/index.php?token=7777&id=jlws
青海卫视,http://154.12.36.187:656/index.php?token=7777&id=qhws
海南卫视,http://154.12.36.187:656/index.php?token=7777&id=hainws
辽宁卫视,http://154.12.36.187:656/index.php?token=7777&id=lnws
嘉佳卡通,http://154.12.36.187:656/index.php?token=7777&id=jjkt
优漫卡通,http://154.12.36.187:656/index.php?token=7777&id=ymkt
江苏教育,http://154.12.36.187:656/index.php?token=7777&id=jsjy
山东教育,http://154.12.36.187:656/index.php?token=7777&id=sdjy
兵团卫视,http://154.12.36.187:656/index.php?token=7777&id=btws
河北卫视,http://154.12.36.187:656/index.php?token=7777&id=hebws
黑龙江卫视,http://154.12.36.187:656/index.php?token=7777&id=hljws
三沙卫视,http://154.12.36.187:656/index.php?token=7777&id=ssws
延边卫视,http://154.12.36.187:656/index.php?token=7777&id=ybws
云南卫视,http://154.12.36.187:656/index.php?token=7777&id=ynws
西藏卫视,http://154.12.36.187:656/index.php?token=7777&id=xzws
西藏藏语卫视,http://154.12.36.187:656/index.php?token=7777&id=xzzy
康巴卫视,http://154.12.36.187:656/index.php?token=7777&id=kbws
新疆卫视,http://154.12.36.187:656/index.php?token=7777&id=xjws
山西卫视,http://154.12.36.187:656/index.php?token=7777&id=sxws
陕西卫视,http://154.12.36.187:656/index.php?token=7777&id=shanxws
农林卫视,http://154.12.36.187:656/index.php?token=7777&id=nlws
内蒙古卫视,http://154.12.36.187:656/index.php?token=7777&id=nmgws
内蒙古蒙语卫视,http://154.12.36.187:656/index.php?token=7777&id=nmmyws
海峡卫视,http://154.12.36.187:656/index.php?token=7777&id=hxws
甘肃卫视,http://154.12.36.187:656/index.php?token=7777&id=gsws
深圳卫视,http://154.12.36.187:656/index.php?token=7777&id=szws
天津卫视,http://154.12.36.187:656/index.php?token=7777&id=tjws
安徽卫视,http://154.12.36.187:656/index.php?token=7777&id=ahws
广西卫视,http://154.12.36.187:656/index.php?token=7777&id=gxws
四川卫视,http://154.12.36.187:656/index.php?token=7777&id=scws
贵州卫视,http://154.12.36.187:656/index.php?token=7777&id=gzws
宁夏卫视,http://154.12.36.187:656/index.php?token=7777&id=nxws
重庆卫视,http://154.12.36.187:656/index.php?token=7777&id=cqws
东南卫视,http://154.12.36.187:656/index.php?token=7777&id=dnws
青海安多卫视,http://154.12.36.187:656/index.php?token=7777&id=qhadws
湖南卫视,http://154.12.36.187:656/index.php?token=7777&id=hunws
湖南经视,http://154.12.36.187:656/index.php?token=7777&id=hunjs
金鹰卡通,http://154.12.36.187:656/index.php?token=7777&id=jykt
金鹰纪实,http://154.12.36.187:656/index.php?token=7777&id=jyjs
快乐垂钓,http://154.12.36.187:656/index.php?token=7777&id=klcd
先锋乒羽,http://154.12.36.187:656/index.php?token=7777&id=xfpy
湖南都市,http://154.12.36.187:656/index.php?token=7777&id=hunds
湖南电视剧,http://154.12.36.187:656/index.php?token=7777&id=hndsj
湖南公共,http://154.12.36.187:656/index.php?token=7777&id=hungg
湖南国际,http://154.12.36.187:656/index.php?token=7777&id=hungj
湖南娱乐,http://154.12.36.187:656/index.php?token=7777&id=hunyl
湖南快乐购,http://154.12.36.187:656/index.php?token=7777&id=klg
湖南茶频道,http://154.12.36.187:656/index.php?token=7777&id=cpd
湖南电影,http://154.12.36.187:656/index.php?token=7777&id=hndy
长沙新闻,http://154.12.36.187:656/index.php?token=7777&id=csxw
长沙政法,http://154.12.36.187:656/index.php?token=7777&id=cszf
长沙女性,http://154.12.36.187:656/index.php?token=7777&id=csnx

电影频道,#genre#

经典香港电影,http://180.76.145.203:1112/migu720p.php?id=625703337
抗战经典影片,http://180.76.145.203:1112/migu720p.php?id=617432318
新片放映厅,http://180.76.145.203:1112/migu720p.php?id=619495952
CHC影迷电影,http://180.76.145.203:1112/migu720p.php?id=952383261
和美乡途轮播台,http://180.76.145.203:1112/migu720p.php?id=713591450
高清大片,http://180.76.145.203:1112/migu720p.php?id=629943678
南方影视,http://180.76.145.203:1112/migu720p.php?id=614961829
血色山河·抗日战争影像志,http://180.76.145.203:1112/migu720p.php?id=713600957
山东教育,http://180.76.145.203:1112/migu720p.php?id=609154353
最强综艺趴,http://180.76.145.203:1112/migu720p.php?id=629942228
嘉佳卡通,http://180.76.145.203:1112/migu720p.php?id=614952364
经典动画大集合,http://180.76.145.203:1112/migu720p.php?id=629942219
新动力量创一流,http://180.76.145.203:1112/migu720p.php?id=713589837
环球旅游,http://180.76.145.203:1112/migu720p.php?id=958475356
钱塘江,http://180.76.145.203:1112/migu720p.php?id=647370520
五环传奇,http://180.76.145.203:1112/migu720p.php?id=707671890
赛事最经典,http://180.76.145.203:1112/migu720p.php?id=646596895
掼蛋精英赛,http://180.76.145.203:1112/migu720p.php?id=631354620
体坛名栏汇,http://180.76.145.203:1112/migu720p.php?id=629943305
四海钓鱼,http://180.76.145.203:1112/migu720p.php?id=637444975
咪咕24小时体育台,http://180.76.145.203:1112/migu720p.php?id=654102378
24小时城市联赛轮播台,http://180.76.145.203:1112/migu720p.php?id=915512915
武术世界,http://180.76.145.203:1112/migu720p.php?id=958475359
杭州生活,http://154.12.36.187:656/index.php?token=7777&id=hzsh
24小时轮播,http://154.12.36.187:656/index.php?token=7777&id=24hlb
传奇剧场,http://154.12.36.187:656/index.php?token=7777&id=cqjc
热血剧场,http://154.12.36.187:656/index.php?token=7777&id=rxjc
往昔影院,http://154.12.36.187:656/index.php?token=7777&id=wxyy
生活剧场,http://154.12.36.187:656/index.php?token=7777&id=shjc
国产佳作,http://154.12.36.187:656/index.php?token=7777&id=gcjz
岁月男神,http://154.12.36.187:656/index.php?token=7777&id=syns
心动投送,http://154.12.36.187:656/index.php?token=7777&id=xdts
宅家剧场,http://154.12.36.187:656/index.php?token=7777&id=zjjc
怀旧经典,http://154.12.36.187:656/index.php?token=7777&id=hjjd
放映厅,http://154.12.36.187:656/index.php?token=7777&id=fyt
红色经典,http://154.12.36.187:656/index.php?token=7777&id=hsjd
大咖面对面,http://154.12.36.187:656/index.php?token=7777&id=dkmdm
周润发系列,http://154.12.36.187:656/index.php?token=7777&id=zrfxl
重庆新闻,http://154.12.36.187:656/index.php?token=7777&id=cqxw
西藏影视文化,http://154.12.36.187:656/index.php?token=7777&id=xzys
经典动画大集合,http://154.12.36.187:656/index.php?token=7777&id=jddhdjh
经典香港电影,http://154.12.36.187:656/index.php?token=7777&id=jdxgdy
抗战经典影片,http://154.12.36.187:656/index.php?token=7777&id=kzjdyp
新片放映厅,http://154.12.36.187:656/index.php?token=7777&id=xpfyt
CHC影迷电影,http://154.12.36.187:656/index.php?token=7777&id=chcymdy
CHC动作电影,http://154.12.36.187:656/index.php?token=7777&id=chcdzdy
CHC家庭影院,http://154.12.36.187:656/index.php?token=7777&id=chcjtyy
和美乡途轮播台,http://154.12.36.187:656/index.php?token=7777&id=hmxtlbt
南方影视,http://154.12.36.187:656/index.php?token=7777&id=nfys
赛事最经典,http://154.12.36.187:656/index.php?token=7777&id=sszjd
体坛名栏汇,http://154.12.36.187:656/index.php?token=7777&id=ttmlh
24小时全运会轮播台,http://154.12.36.187:656/index.php?token=7777&id=24hqyhlbt
陕西体育休闲频道,http://154.12.36.187:656/index.php?token=7777&id=sxtyxxpd
24小时城市联赛轮播台,http://154.12.36.187:656/index.php?token=7777&id=24hcslslbt
武术世界,http://154.12.36.187:656/index.php?token=7777&id=wssj
最强综艺趴,http://154.12.36.187:656/index.php?token=7777&id=zqzyp
江苏综艺频道,http://154.12.36.187:656/index.php?token=7777&id=jszypd
上海新闻综合,http://154.12.36.187:656/index.php?token=7777&id=shxwzh
上视东方影视,http://154.12.36.187:656/index.php?token=7777&id=ssdfys
上海第一财经,http://154.12.36.187:656/index.php?token=7777&id=shdycj


斗鱼频道,#genre#

特辑电影院,http://154.12.36.187:656/index.php?token=7777&id=3637778&type=douyu
牛叔说电影,http://154.12.36.187:656/index.php?token=7777&id=2758565&type=douyu
小片片说大片,http://154.12.36.187:656/index.php?token=7777&id=4258555&type=douyu
万合出品,http://154.12.36.187:656/index.php?token=7777&id=9220456&type=douyu
火龙果说电影,http://154.12.36.187:656/index.php?token=7777&id=9559158&type=douyu
科幻Fans布玛,http://154.12.36.187:656/index.php?token=7777&id=3508304&type=douyu
PP看动漫,http://154.12.36.187:656/index.php?token=7777&id=9837291&type=douyu
开心锤锤动漫,http://154.12.36.187:656/index.php?token=7777&id=9018297&type=douyu
OneGuy丶,http://154.12.36.187:656/index.php?token=7777&id=9734098&type=douyu
虫哥说电影,http://154.12.36.187:656/index.php?token=7777&id=8915074&type=douyu
电影迷小雅,http://154.12.36.187:656/index.php?token=7777&id=9639225&type=douyu
发条张的电影最TOP,http://154.12.36.187:656/index.php?token=7777&id=2164691&type=douyu
史君说剧,http://154.12.36.187:656/index.php?token=7777&id=9419771&type=douyu
sweet夏有甜,http://154.12.36.187:656/index.php?token=7777&id=4808115&type=douyu
吸奇侠,http://154.12.36.187:656/index.php?token=7777&id=8986636&type=douyu
晚风吹过灬,http://154.12.36.187:656/index.php?token=7777&id=5800628&type=douyu
芙芙家的洗碗君,http://154.12.36.187:656/index.php?token=7777&id=9446706&type=douyu
牛叔说电影二台,http://154.12.36.187:656/index.php?token=7777&id=10010651&type=douyu
胆子不小的郑吉祥,http://154.12.36.187:656/index.php?token=7777&id=9171887&type=douyu
老烟斗鬼故事,http://154.12.36.187:656/index.php?token=7777&id=2337939&type=douyu
周扒片,http://154.12.36.187:656/index.php?token=7777&id=6434857&type=douyu
小片片说大片二台,http://154.12.36.187:656/index.php?token=7777&id=10011547&type=douyu
星君说电影,http://154.12.36.187:656/index.php?token=7777&id=8014467&type=douyu
3说电影,http://154.12.36.187:656/index.php?token=7777&id=9643264&type=douyu
侃片大师兄,http://154.12.36.187:656/index.php?token=7777&id=9338839&type=douyu
怪兽马提尼电影,http://154.12.36.187:656/index.php?token=7777&id=9075333&type=douyu
堇姑娘,http://154.12.36.187:656/index.php?token=7777&id=297689&type=douyu
九冢嵬,http://154.12.36.187:656/index.php?token=7777&id=9393501&type=douyu
阿苏电影,http://154.12.36.187:656/index.php?token=7777&id=9037784&type=douyu
666以撒皮神,http://154.12.36.187:656/index.php?token=7777&id=10922695&type=douyu
用户49868946,http://154.12.36.187:656/index.php?token=7777&id=11546930&type=douyu
用户3431809680,http://154.12.36.187:656/index.php?token=7777&id=11290462&type=douyu
蔡老板家的长工丶,http://154.12.36.187:656/index.php?token=7777&id=8869614&type=douyu
拳叔二次元,http://154.12.36.187:656/index.php?token=7777&id=9484105&type=douyu
小小天才搞笑视频,http://154.12.36.187:656/index.php?token=7777&id=9419678&type=douyu
宇宙探索飞船,http://154.12.36.187:656/index.php?token=7777&id=9456028&type=douyu
开心嘴炮,http://154.12.36.187:656/index.php?token=7777&id=9026377&type=douyu
劉星星呀,http://154.12.36.187:656/index.php?token=7777&id=7422897&type=douyu
悬疑MOVIE,http://154.12.36.187:656/index.php?token=7777&id=9601429&type=douyu
刘哔电影,http://154.12.36.187:656/index.php?token=7777&id=2632223&type=douyu
历史经典烩,http://154.12.36.187:656/index.php?token=7777&id=9487003&type=douyu
老秦说秦,http://154.12.36.187:656/index.php?token=7777&id=9650131&type=douyu
文西与阿漆,http://154.12.36.187:656/index.php?token=7777&id=8737695&type=douyu
李允儿er的助眠小窝,http://154.12.36.187:656/index.php?token=7777&id=9038894&type=douyu
顾止最爱的小胖宝贝,http://154.12.36.187:656/index.php?token=7777&id=238643&type=douyu
章的亲弟弟,http://154.12.36.187:656/index.php?token=7777&id=9641152&type=douyu
一个机智张张,http://154.12.36.187:656/index.php?token=7777&id=9653063&type=douyu
鬼兄奇谈,http://154.12.36.187:656/index.php?token=7777&id=8722254&type=douyu
中二日记搞笑动画,http://154.12.36.187:656/index.php?token=7777&id=9505575&type=douyu
漫威君,http://154.12.36.187:656/index.php?token=7777&id=1713615&type=douyu
Svip丶YoYo,http://154.12.36.187:656/index.php?token=7777&id=3472959&type=douyu
代娱说美剧,http://154.12.36.187:656/index.php?token=7777&id=9123570&type=douyu
茶啊二中官方,http://154.12.36.187:656/index.php?token=7777&id=2925610&type=douyu
老邪说电影,http://154.12.36.187:656/index.php?token=7777&id=9222870&type=douyu
JustXiaIt嘻咦啊看,http://154.12.36.187:656/index.php?token=7777&id=2660125&type=douyu
小陶气说动漫,http://154.12.36.187:656/index.php?token=7777&id=9527700&type=douyu
小涛讲电影V,http://154.12.36.187:656/index.php?token=7777&id=8415464&type=douyu
培根悖论唠唠嗑,http://154.12.36.187:656/index.php?token=7777&id=5354713&type=douyu
工藤新医heart,http://154.12.36.187:656/index.php?token=7777&id=8741860&type=douyu
小司马说剧,http://154.12.36.187:656/index.php?token=7777&id=9660127&type=douyu
真香动漫解说,http://154.12.36.187:656/index.php?token=7777&id=9391292&type=douyu
骑毛驴的八戒,http://154.12.36.187:656/index.php?token=7777&id=1979257&type=douyu
一目十影,http://154.12.36.187:656/index.php?token=7777&id=3643605&type=douyu
奥雷卡尔克斯,http://154.12.36.187:656/index.php?token=7777&id=1224356&type=douyu
老王忆经典,http://154.12.36.187:656/index.php?token=7777&id=9687733&type=douyu
铁血影视汇,http://154.12.36.187:656/index.php?token=7777&id=9649701&type=douyu
尉迟杰影评,http://154.12.36.187:656/index.php?token=7777&id=8850682&type=douyu
史君观影,http://154.12.36.187:656/index.php?token=7777&id=9644669&type=douyu
圈踢动漫,http://154.12.36.187:656/index.php?token=7777&id=1952680&type=douyu
东倾电影,http://154.12.36.187:656/index.php?token=7777&id=8344251&type=douyu
谁语说电影,http://154.12.36.187:656/index.php?token=7777&id=8705754&type=douyu
胥渡吧直播号,http://154.12.36.187:656/index.php?token=7777&id=2040822&type=douyu
松轩说电影,http://154.12.36.187:656/index.php?token=7777&id=1524969&type=douyu
菇菇说过,http://154.12.36.187:656/index.php?token=7777&id=8788687&type=douyu
猎奇笔记本,http://154.12.36.187:656/index.php?token=7777&id=9627172&type=douyu
新手村头号玩家,http://154.12.36.187:656/index.php?token=7777&id=562225&type=douyu
好剧看不停,http://154.12.36.187:656/index.php?token=7777&id=9388938&type=douyu
影视英雄汇,http://154.12.36.187:656/index.php?token=7777&id=10240495&type=douyu
蛋泥动画,http://154.12.36.187:656/index.php?token=7777&id=9312460&type=douyu
有部电影儿,http://154.12.36.187:656/index.php?token=7777&id=9736479&type=douyu
绿阿掌,http://154.12.36.187:656/index.php?token=7777&id=2365&type=douyu
我叫萌迪迪V,http://154.12.36.187:656/index.php?token=7777&id=5354705&type=douyu
英大吉来了,http://154.12.36.187:656/index.php?token=7777&id=9174097&type=douyu
我是一只西瓜啊,http://154.12.36.187:656/index.php?token=7777&id=9065082&type=douyu
老鱼说剧,http://154.12.36.187:656/index.php?token=7777&id=9994377&type=douyu
大蓝雀,http://154.12.36.187:656/index.php?token=7777&id=8656759&type=douyu
楠者电影,http://154.12.36.187:656/index.php?token=7777&id=9485398&type=douyu
长片短解,http://154.12.36.187:656/index.php?token=7777&id=9410946&type=douyu
科学放映室,http://154.12.36.187:656/index.php?token=7777&id=9439712&type=douyu
探奇录,http://154.12.36.187:656/index.php?token=7777&id=9746763&type=douyu
独立鱼电影,http://154.12.36.187:656/index.php?token=7777&id=2413555&type=douyu
植物椿de房间,http://154.12.36.187:656/index.php?token=7777&id=9771247&type=douyu
贝爷求生影视,http://154.12.36.187:656/index.php?token=7777&id=9661369&type=douyu
热影连连看,http://154.12.36.187:656/index.php?token=7777&id=9388931&type=douyu
墨逗电影,http://154.12.36.187:656/index.php?token=7777&id=9614847&type=douyu
九叔说电影v,http://154.12.36.187:656/index.php?token=7777&id=9348282&type=douyu
逗米说电影,http://154.12.36.187:656/index.php?token=7777&id=421222&type=douyu
我为奥迪上黄金,http://154.12.36.187:656/index.php?token=7777&id=9336286&type=douyu
岚FLL,http://154.12.36.187:656/index.php?token=7777&id=9409703&type=douyu
篮球长镜头,http://154.12.36.187:656/index.php?token=7777&id=9399887&type=douyu
郭云神奇,http://154.12.36.187:656/index.php?token=7777&id=8694831&type=douyu
楚哥说电影,http://154.12.36.187:656/index.php?token=7777&id=9375743&type=douyu

浙江频道,#genre#
浙江钱江,http://154.12.36.187:656/index.php?token=7777&id=zjqj
浙江经济生活,http://154.12.36.187:656/index.php?token=7777&id=zjjjsh
浙江教科影视,http://154.12.36.187:656/index.php?token=7777&id=zjjkys
浙江民生休闲,http://154.12.36.187:656/index.php?token=7777&id=zjmsxx
浙江新闻,http://154.12.36.187:656/index.php?token=7777&id=zjxw
浙江少儿,http://154.12.36.187:656/index.php?token=7777&id=zjse
浙江国际,http://154.12.36.187:656/index.php?token=7777&id=zjgj
浙江好易购,http://154.12.36.187:656/index.php?token=7777&id=zjhyg
浙江之江纪录,http://154.12.36.187:656/index.php?token=7777&id=zjzjjl

北京频道,#genre#

北京文艺,http://154.12.36.187:656/index.php?token=7777&id=bjwy
纪实科教,http://154.12.36.187:656/index.php?token=7777&id=jskj
北京影视,http://154.12.36.187:656/index.php?token=7777&id=bjys
北京财经,http://154.12.36.187:656/index.php?token=7777&id=bjcj
北京体育休闲,http://154.12.36.187:656/index.php?token=7777&id=bjty
北京生活,http://154.12.36.187:656/index.php?token=7777&id=bjsh
北京新闻,http://154.12.36.187:656/index.php?token=7777&id=bjxw
卡酷少儿,http://154.12.36.187:656/index.php?token=7777&id=kkse

上海频道,#genre#

上海新闻综合,http://154.12.36.187:656/index.php?token=7777&id=shxwzh
上海新纪实,http://154.12.36.187:656/index.php?token=7777&id=shxjs
上海魔都眼,http://154.12.36.187:656/index.php?token=7777&id=shmdy
上海乐游,http://154.12.36.187:656/index.php?token=7777&id=ly
第一财经,http://154.12.36.187:656/index.php?token=7777&id=shdycj
上海都市频道,http://154.12.36.187:656/index.php?token=7777&id=shdspd
上海五星体育,http://154.12.36.187:656/index.php?token=7777&id=shwxty
东方财经,http://154.12.36.187:656/index.php?token=7777&id=dfcj
上海生活时尚,http://154.12.36.187:656/index.php?token=7777&id=shss
金色学堂,http://154.12.36.187:656/index.php?token=7777&id=jsxt
上海教育,http://154.12.36.187:656/index.php?token=7777&id=shjy
游戏风云,http://154.12.36.187:656/index.php?token=7777&id=yxfy
法治天地,http://154.12.36.187:656/index.php?token=7777&id=fztd

山西频道,#genre#

山西经济,http://154.12.36.187:656/index.php?token=7777&id=sxjj
山西影视,http://154.12.36.187:656/index.php?token=7777&id=sxys
山西社会与法治,http://154.12.36.187:656/index.php?token=7777&id=sxfz
山西文体生活,http://154.12.36.187:656/index.php?token=7777&id=sxwt
山西黄河,http://154.12.36.187:656/index.php?token=7777&id=sxhh

陕西频道,#genre#

陕西新闻资讯,http://154.12.36.187:656/index.php?token=7777&id=xwzx
陕西都市青春,http://154.12.36.187:656/index.php?token=7777&id=dsqc
银龄频道,http://154.12.36.187:656/index.php?token=7777&id=ylpd
秦腔频道,http://154.12.36.187:656/index.php?token=7777&id=qqpd
乐家购物,http://154.12.36.187:656/index.php?token=7777&id=ljgw
移动电视,http://154.12.36.187:656/index.php?token=7777&id=ydds
陕西银龄频道,http://154.12.36.187:656/index.php?token=7777&id=sxylpd
陕西都市青春频道,http://154.12.36.187:656/index.php?token=7777&id=sxdsqcpd
陕西秦腔频道,http://154.12.36.187:656/index.php?token=7777&id=sxqkpd
陕西新闻资讯频道,http://154.12.36.187:656/index.php?token=7777&id=sxxwzxpd
财富天下,http://154.12.36.187:656/index.php?token=7777&id=cftx
中国天气,http://154.12.36.187:656/index.php?token=7777&id=zgtq
公共新闻频道,http://154.12.36.187:656/index.php?token=7777&id=ggxwpd
中华特产,http://154.12.36.187:656/index.php?token=7777&id=zhtc

云南频道,#genre#

耿马综合,http://154.12.36.187:656/index.php?token=7777&id=gmzh
龙陵综合,http://154.12.36.187:656/index.php?token=7777&id=llzh
隆阳综合,http://154.12.36.187:656/index.php?token=7777&id=lyzh
玉溪新闻综合,http://154.12.36.187:656/index.php?token=7777&id=yxzh
玉溪社会与法,http://154.12.36.187:656/index.php?token=7777&id=yxsf
德宏新闻综合频道,http://154.12.36.187:656/index.php?token=7777&id=dhxwzhpd
文山综合频道,http://154.12.36.187:656/index.php?token=7777&id=wszhpd
红河综合频道,http://154.12.36.187:656/index.php?token=7777&id=hhzhpd
